# squared distance, heading (radians)
31.059688,1.571180
30.207016,1.573117
29.508410,1.572655
28.747449,1.573785
28.075438,1.576670
27.344998,1.576400
26.415385,1.578619
25.698907,1.578716
24.870576,1.576976
24.222302,1.576856
23.598160,1.574184
23.053032,1.573240
22.350480,1.573202
21.760987,1.572144
21.290541,1.571738
20.875426,1.571155
20.196700,1.568492
19.709081,1.568501
19.080883,1.569730
18.415075,1.568758
17.879217,1.568674
17.780946,1.567124
17.579341,1.567172
17.192197,1.566496
16.991155,1.565904
16.707055,1.565834
16.502406,1.565895
16.273563,1.566310
16.033543,1.563210
16.059477,1.562433
15.824313,1.560766
15.568188,1.562126
15.499263,1.557705
15.229363,1.560762
15.234078,1.562770
15.088672,1.563635
15.295671,1.566755
15.275788,1.565338
15.294086,1.561839
15.153026,1.559751
15.007729,1.559875
15.002653,1.562159
15.232694,1.562399
15.492160,1.565288
15.393901,1.565345
15.482018,1.566992
15.678565,1.569119
16.103057,1.569875
16.294661,1.569825
16.563545,1.571946
17.076739,1.573576
17.316140,1.571996
17.740865,1.570342
18.046647,1.572098
18.520173,1.568388
18.970110,1.565965
19.137738,1.564239
19.287008,1.565053
20.043277,1.564518
20.435274,1.563273
20.825976,1.560536
21.080694,1.559642
21.236002,1.560762
21.835921,1.561788
22.087361,1.563463
22.709078,1.561666
23.287288,1.562114
23.659226,1.562156
24.198514,1.555996
24.934894,1.551171
25.564230,1.549346
26.084712,1.551741
26.594693,1.549559
27.177709,1.550443
27.764539,1.548617
28.304115,1.550133
28.931994,1.551362
29.589674,1.552181
30.622949,1.551742
31.625355,1.550963
31.764372,1.533940
31.923611,1.513806
32.004998,1.495858
31.817736,1.480446
31.655693,1.463466
31.413576,1.448052
31.577496,1.432702
31.942409,1.415195
31.803661,1.399068
31.770329,1.381859
31.880666,1.367028
32.160927,1.348293
32.316140,1.329239
32.409885,1.311652
32.410349,1.294736
32.587724,1.276482
32.605793,1.261432
32.478339,1.247058
32.648301,1.227239
32.789235,1.209430
32.602075,1.192285
32.299750,1.172783
32.463696,1.153028
32.424538,1.137378
32.670870,1.122853
32.780774,1.106570
32.779131,1.088609
32.658040,1.071707
32.565919,1.057280
32.648799,1.038418
32.547764,1.021690
32.773143,1.002916
33.075363,0.990319
33.157966,0.973002
33.149528,0.953994
33.221579,0.935085
33.138164,0.914422
33.413047,0.897164
33.481589,0.883828
33.467130,0.865936
33.357060,0.848480
33.370113,0.831226
33.282183,0.810991
33.307412,0.793190
33.190770,0.776453
33.211254,0.757336
33.189276,0.741469
33.195626,0.724077
33.183022,0.701821
33.355853,0.682811
33.456627,0.662493
33.426511,0.645545
33.656686,0.625196
33.873717,0.610899
34.014136,0.591205
34.046993,0.572918
34.236586,0.554381
34.220528,0.536307
34.439783,0.515143
34.265533,0.500455
34.424230,0.488829
34.628868,0.469568
34.652626,0.454351
34.438475,0.435160
34.589055,0.417992
34.701027,0.397822
34.550869,0.380221
34.286663,0.363197
34.183308,0.347663
34.251228,0.330212
34.293030,0.309891
34.294661,0.297157
34.055390,0.277143
33.936275,0.259152
33.998018,0.242028
34.072704,0.221054
34.059514,0.203053
33.698954,0.186037
33.609703,0.166811
33.330359,0.149115
33.280485,0.131805
33.502305,0.113484
33.627267,0.091273
33.779786,0.074968
33.636110,0.061412
33.556743,0.043145
33.308875,0.026699
33.198878,0.013545
32.964991,-0.003119
32.835339,-0.019779
32.956328,-0.031054
32.791886,-0.048235
32.985902,-0.066647
32.875961,-0.084916
32.777224,-0.101572
32.681976,-0.122761
32.524716,-0.137323
32.766626,-0.158386
32.839230,-0.174122
32.883649,-0.193743
32.670328,-0.208368
32.511069,-0.223619
32.506769,-0.239663
32.495282,-0.259937
32.452046,-0.281413
32.433091,-0.301141
32.477795,-0.315419
32.292841,-0.330697
32.144530,-0.344961
32.087576,-0.362660
32.237976,-0.380853
32.236729,-0.397357
32.162844,-0.414262
31.711070,-0.432464
31.442795,-0.449990
31.295581,-0.467998
31.170621,-0.485931
30.957861,-0.506076
30.987093,-0.520437
30.962550,-0.540659
30.575397,-0.558764
30.580142,-0.576075
30.383766,-0.595147
30.193147,-0.612332
30.158431,-0.629354
30.054203,-0.644895
29.891796,-0.660866
29.723381,-0.680036
29.789805,-0.699507
29.782774,-0.714871
29.751951,-0.731478
29.452682,-0.749846
29.344116,-0.766612
29.375473,-0.785374
29.410244,-0.805583
29.410247,-0.820805
29.296587,-0.840250
29.471680,-0.856490
29.180574,-0.874783
29.242534,-0.890859
29.168331,-0.908079
29.339628,-0.927281
29.133493,-0.943342
28.884170,-0.959935
28.644837,-0.978029
28.605067,-0.993887
28.392693,-1.010324
28.336601,-1.027718
28.083697,-1.045155
28.102419,-1.064880
27.892125,-1.083089
27.687109,-1.097181
27.583102,-1.114345
27.553668,-1.135719
27.381331,-1.153229
27.400570,-1.167545
27.486747,-1.187582
27.558576,-1.205904
27.801647,-1.223796
27.651899,-1.241922
27.413213,-1.261064
27.173505,-1.279521
27.157475,-1.295498
27.276263,-1.315385
27.457898,-1.333925
27.530185,-1.348905
27.610725,-1.366118
27.498907,-1.385437
27.247978,-1.403670
27.215118,-1.424274
26.969455,-1.443952
26.782603,-1.460959
26.783513,-1.480881
26.743717,-1.501287
26.607197,-1.516933
26.547504,-1.536637
26.686782,-1.554303
26.571502,-1.571988
26.399085,-1.589845
26.426569,-1.608853
26.490789,-1.611523
25.662799,-1.608830
24.957581,-1.611968
24.215039,-1.611180
23.457858,-1.615056
22.822967,-1.615121
21.875561,-1.613636
21.253098,-1.613823
20.670371,-1.612513
20.082907,-1.613169
19.548720,-1.611530
18.896954,-1.611113
18.290630,-1.610571
17.652926,-1.611262
17.107063,-1.610407
16.605359,-1.609176
16.226414,-1.605482
15.748024,-1.605558
15.155844,-1.605796
14.691721,-1.603987
14.378408,-1.602584
13.812530,-1.602882
13.564443,-1.601812
13.300692,-1.598816
12.792895,-1.597457
12.465666,-1.596020
12.091199,-1.592560
11.769827,-1.593373
11.638035,-1.593394
11.304119,-1.593547
11.115095,-1.593150
10.834351,-1.590353
10.561946,-1.589557
10.484259,-1.586730
10.294570,-1.582679
10.020620,-1.587027
9.912616,-1.590716
9.830309,-1.593723
9.799947,-1.593269
9.722131,-1.592877
9.607255,-1.591422
9.416919,-1.590801
9.267833,-1.588719
9.278365,-1.589050
9.385012,-1.590474
9.372488,-1.589553
9.509143,-1.589011
9.596701,-1.590359
9.626828,-1.591109
9.696469,-1.589158
9.676374,-1.589157
9.938342,-1.587901
10.094171,-1.589063
10.264678,-1.588555
10.578977,-1.590143
10.859455,-1.591931
11.189796,-1.591413
11.472160,-1.590372
11.875383,-1.589498
12.422851,-1.588858
12.721215,-1.588264
13.309366,-1.588495
13.705275,-1.587658
14.327647,-1.584417
14.794781,-1.583003
15.306190,-1.580109
15.902778,-1.583179
16.319896,-1.581650
17.039214,-1.577361
17.655984,-1.578767
18.248972,-1.576680
18.788060,-1.578755
19.395237,-1.581361
19.928845,-1.579935
20.551528,-1.578993
21.279089,-1.579108
21.894381,-1.575345
22.597375,-1.576795
23.029081,-1.579068
23.649394,-1.575180
24.416440,-1.575646
24.493008,-1.560857
24.630154,-1.541378
24.621972,-1.523859
24.813972,-1.509817
25.133582,-1.493387
25.359201,-1.474870
25.225677,-1.456073
25.100934,-1.438093
25.104229,-1.422888
25.295153,-1.406342
25.077348,-1.387837
25.021444,-1.369953
25.198590,-1.353201
25.256687,-1.336551
25.213490,-1.320196
24.976068,-1.304076
25.124326,-1.286740
25.126472,-1.266335
24.984218,-1.251664
24.778828,-1.233680
24.893991,-1.216428
24.738026,-1.199961
24.722821,-1.179574
24.848635,-1.159159
25.052295,-1.143486
25.359377,-1.129891
25.407470,-1.114675
25.231601,-1.101706
25.340203,-1.086802
25.344168,-1.067403
25.461625,-1.047894
25.614322,-1.029656
25.812131,-1.011441
25.756130,-0.994943
25.669201,-0.977017
25.712990,-0.958548
25.770984,-0.940987
25.749755,-0.923480
25.743171,-0.907399
25.876488,-0.889272
25.697395,-0.871641
25.832134,-0.854052
25.818456,-0.838169
25.826122,-0.820091
25.921187,-0.805838
25.789037,-0.789461
26.008492,-0.772486
25.946254,-0.755551
26.064703,-0.736513
26.251670,-0.720366
26.233360,-0.699556
26.238572,-0.680432
26.171223,-0.666123
26.099362,-0.647031
26.034349,-0.629906
26.248844,-0.617040
26.059866,-0.601991
25.914040,-0.583645
25.808990,-0.564770
25.708859,-0.548490
25.607737,-0.530050
25.563682,-0.513104
25.554132,-0.495755
25.646815,-0.479158
25.632618,-0.461006
25.462363,-0.443774
25.566992,-0.428531
25.621720,-0.413111
25.665315,-0.396233
25.535445,-0.383653
25.584077,-0.367522
25.487132,-0.350147
25.598569,-0.335111
25.412246,-0.315706
25.587101,-0.296103
25.430475,-0.278305
25.476202,-0.260948
25.638988,-0.244775
25.753937,-0.227823
25.717835,-0.213747
26.016688,-0.194248
26.128591,-0.175559
26.139744,-0.158823
26.159423,-0.142161
26.220432,-0.121858
26.377968,-0.104858
26.502036,-0.087575
26.360469,-0.071210
26.047864,-0.052153
25.772782,-0.035170
25.775691,-0.016316
25.462823,0.002381
25.483860,0.015099
25.423434,0.034779
25.603434,0.051940
25.493330,0.067702
25.214470,0.086279
25.111521,0.102001
25.129021,0.119019
25.149175,0.132909
25.151881,0.153475
25.172124,0.167473
25.034914,0.184671
24.802994,0.203812
24.736346,0.221022
24.795328,0.239717
24.617399,0.257245
24.402934,0.274331
24.480889,0.289974
24.335654,0.307135
24.415154,0.325573
24.294125,0.340684
24.249140,0.361168
24.101929,0.373149
23.903909,0.390250
23.995603,0.410432
24.024193,0.426905
23.984506,0.443877
23.792274,0.462222
23.776299,0.482718
23.781146,0.500999
23.597990,0.516088
23.715507,0.535924
23.718243,0.554549
23.909728,0.573970
23.664820,0.590331
23.781300,0.607864
23.700355,0.629147
23.575996,0.644498
23.699936,0.661009
23.846154,0.679870
23.847716,0.698286
23.614383,0.714334
23.615587,0.730815
23.527614,0.749669
23.320779,0.766579
22.962459,0.783498
22.742989,0.798860
22.593926,0.814603
22.645059,0.831490
22.881706,0.847776
22.828749,0.868440
23.036510,0.886596
22.975939,0.904888
22.913402,0.920422
22.796150,0.942035
22.689140,0.957367
22.783949,0.973108
22.923541,0.990600
22.836246,1.006922
22.629401,1.023115
22.516574,1.041797
22.529290,1.057370
22.456694,1.073278
22.064477,1.090369
21.843508,1.106886
21.875476,1.124027
21.723004,1.139830
21.592915,1.155198
21.600471,1.172928
21.701912,1.190375
21.757431,1.210573
21.800306,1.227294
21.485725,1.244884
21.443029,1.261017
21.273402,1.277863
21.259263,1.295920
21.086455,1.309790
20.815374,1.324810
20.705196,1.341269
20.563916,1.357518
20.440079,1.375989
20.429763,1.393239
20.233047,1.410258
20.178723,1.427290
20.130016,1.448176
20.172228,1.464238
19.970879,1.483667
19.799246,1.498389
19.613957,1.516303
19.702818,1.517883
18.863391,1.520108
18.146922,1.521840
17.448131,1.520806
16.686923,1.522855
15.949535,1.519485
15.305117,1.520351
14.768205,1.519137
14.167512,1.521472
13.279935,1.523886
12.816414,1.523914
12.216815,1.521780
11.801685,1.520532
11.218594,1.519962
10.849228,1.518652
10.357665,1.515241
9.847141,1.512612
9.377560,1.510497
9.003332,1.511614
8.548996,1.512000
8.052536,1.510322
7.642551,1.510296
7.236712,1.508387
6.850143,1.511867
6.512753,1.514031
6.128287,1.512978
5.815426,1.511431
5.488356,1.513352
5.230243,1.514201
4.947125,1.514704
4.736587,1.515602
4.574979,1.514997
4.331094,1.515311
4.196959,1.515276
4.066228,1.516843
4.050889,1.517548
4.007036,1.517685
4.044763,1.520040
3.978013,1.520142
3.907568,1.520561
3.921666,1.520984
3.899838,1.520445
3.857997,1.518994
3.863970,1.519219
4.059162,1.517625
4.198714,1.515597
4.331536,1.515570
4.458411,1.513643
4.655746,1.512603
4.694613,1.512940
4.835512,1.512207
4.973010,1.511756
5.218543,1.513263
5.520773,1.517569
5.727897,1.515935
6.053702,1.516067
6.318105,1.512748
6.580615,1.513617
6.959160,1.513067
7.371280,1.513257
7.780672,1.517713
8.179098,1.519321
8.468839,1.517894
8.827196,1.517903
9.307343,1.518805
9.941894,1.519891
10.546496,1.519594
11.094628,1.520732
11.720829,1.522261
12.300869,1.518878
12.809185,1.519151
13.504501,1.517308
14.045406,1.516231
14.542103,1.514882
